Time [s],omega GENROU 1,omega GENROU 2,omega GENROU 3,omega GENROU 4,omega GENROU 5
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
3.333333333333333287e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
6.666666666666666574e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.333333333333333315e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.666666666666666574e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.999999999999999833e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.333333333333333093e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.666666666666666630e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.999999999999999889e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
3.333333333333333148e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
3.666666666666666408e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
3.999999999999999667e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
4.333333333333332926e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
4.666666666666666186e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
4.999999999999999445e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.333333333333333259e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.666666666666666519e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.999999999999999778e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
6.333333333333333037e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
6.666666666666666297e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
6.999999999999999556e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
7.333333333333332815e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
7.666666666666666075e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
7.999999999999999334e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
8.333333333333332593e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
8.666666666666665853e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
8.999999999999999112e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
9.333333333333332371e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
9.666666666666665630e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
9.999000000000000110e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000099999999999989e+00,1.000001523772985790e+00,9.999994401143539324e-01,9.999997100436220920e-01,9.999998955435285275e-01,9.999999105435710689e-01
1.033433333333333426e+00,1.000824839640597430e+00,9.997178852621863010e-01,9.998349466494137472e-01,9.999457621948802943e-01,9.999474653167595983e-01
1.066766666666666863e+00,1.001356780018513914e+00,9.995613177922003656e-01,9.997227194872828626e-01,9.999184274524134386e-01,9.999109205873758510e-01
1.099900000000000100e+00,1.001712610311198848e+00,9.994626037619849246e-01,9.996537932948699190e-01,9.999110304947078642e-01,9.998907028938386343e-01
1.100000000000000089e+00,1.001713458067296836e+00,9.994623780582325701e-01,9.996536420814257085e-01,9.999110340316660350e-01,9.998906644073628502e-01
1.100100000000000078e+00,1.001712170640465693e+00,9.994629579572152922e-01,9.996539090131604244e-01,9.999111890335183883e-01,9.998907569772024218e-01
1.133433333333333515e+00,1.000865873828294506e+00,9.997808040123358220e-01,9.998394825989146417e-01,9.999938821864098326e-01,9.999562342664699566e-01
1.166766666666666952e+00,1.000372690685098487e+00,9.999378115735538808e-01,9.999671842697945845e-01,1.000049815163333244e+00,1.000007424916958154e+00
1.200100000000000389e+00,9.999751853987732808e-01,1.000066589316284116e+00,1.000070672417448625e+00,1.000094140838792223e+00,1.000049406761010395e+00
1.233433333333333826e+00,9.996513481483078056e-01,1.000172265007611472e+00,1.000156148280964441e+00,1.000130087470298079e+00,1.000083398309490779e+00
1.266766666666667263e+00,9.994032283365376079e-01,1.000253608664270377e+00,1.000222896085976698e+00,1.000157305963316867e+00,1.000108952177367616e+00
1.300100000000000700e+00,9.992337457128629419e-01,1.000309650404380246e+00,1.000269513720690284e+00,1.000174830329970455e+00,1.000125416273544676e+00
1.333433333333334136e+00,9.991420488708001590e-01,1.000340636253048032e+00,1.000295491872089215e+00,1.000182156179693527e+00,1.000132548900316554e+00
1.366766666666667573e+00,9.991228827250884237e-01,1.000348153733938261e+00,1.000301531242578035e+00,1.000179427478522731e+00,1.000130703693236534e+00
1.400100000000001010e+00,9.991671282829958090e-01,1.000334961539731005e+00,1.000289473085150593e+00,1.000167447972279078e+00,1.000120817290676145e+00
1.433433333333334447e+00,9.992627607214558116e-01,1.000304698437951556e+00,1.000262079925862135e+00,1.000147551106589150e+00,1.000104297608234605e+00
1.466766666666667884e+00,9.993959714232898417e-01,1.000261546822182934e+00,1.000222752053698816e+00,1.000121461137097212e+00,1.000082866766373257e+00
1.500100000000001321e+00,9.995523120024558672e-01,1.000209891715241772e+00,1.000175225208218555e+00,1.000091128662812023e+00,1.000058397418817302e+00
1.533433333333334758e+00,9.997177574176528969e-01,1.000154007891797203e+00,1.000123280896713984e+00,1.000058569085334526e+00,1.000032764156317366e+00
1.566766666666668195e+00,9.998796092592908691e-01,1.000097797511397379e+00,1.000070491870240330e+00,1.000025721538981394e+00,1.000007717287061837e+00
1.600100000000001632e+00,1.000027187259034944e+00,1.000044591661354509e+00,1.000020016432785486e+00,9.999943440126638494e-01,9.999847826086303293e-01
1.633433333333335069e+00,1.000152269322038823e+00,9.999970277258026785e-01,9.999744556537261131e-01,9.999660410803985489e-01,9.999651911718361319e-01
1.666766666666668506e+00,1.000249369505650909e+00,9.999569671685614169e-01,9.999357483561768234e-01,9.999421776543395701e-01,9.999498277370927335e-01
1.700100000000001943e+00,1.000315626269568936e+00,9.999255325459635024e-01,9.999051670683742898e-01,9.999236525056059977e-01,9.999392335784990093e-01
1.733433333333335380e+00,1.000350701282752386e+00,9.999031261789395053e-01,9.998833126660923165e-01,9.999108141077133194e-01,9.999336187042795476e-01
1.766766666666668817e+00,1.000356411569554682e+00,9.998895270566214855e-01,9.998701760741275368e-01,9.999035680803322057e-01,9.999328904605562229e-01
1.800100000000002254e+00,1.000336298074425700e+00,9.998840024281991923e-01,9.998652243067128742e-01,9.999014740263639789e-01,9.999366823719657571e-01
1.833433333333335691e+00,1.000295139298292391e+00,9.998854353513860760e-01,9.998675074919449735e-01,9.999038380024437567e-01,9.999443916716440617e-01
1.866766666666669128e+00,1.000238454483089345e+00,9.998924568126511536e-01,9.998757769378827653e-01,9.999098003577121530e-01,9.999552295428950632e-01
1.900100000000002565e+00,1.000172032115513865e+00,9.999035735673592606e-01,9.998886052883997344e-01,9.999184172904894696e-01,9.999682806717755668e-01
1.933433333333336002e+00,1.000101511188392189e+00,9.999172844665595861e-01,9.999045010009389722e-01,9.999287338693618743e-01,9.999825663505987894e-01
1.966766666666669439e+00,1.000032034455277108e+00,9.999321797191235150e-01,9.999220107820238068e-01,9.999398462020868683e-01,9.999971066115860285e-01
2.000100000000002876e+00,9.999679836202225447e-01,9.999470193202586454e-01,9.999398052224061084e-01,9.999509509176115474e-01,1.000010977859707495e+00
2.033433333333336090e+00,9.999128038889756320e-01,9.999607880765521983e-01,9.999567442113670435e-01,9.999613808046713403e-01,1.000023362027673279e+00
2.066766666666669305e+00,9.998689008917999166e-01,9.999727302707233090e-01,9.999719226387411286e-01,9.999706267782064728e-01,1.000033584927409347e+00
2.100100000000002520e+00,9.998376357372297241e-01,9.999823569664999523e-01,9.999846923776587460e-01,9.999783457170902112e-01,1.000041143488828332e+00
2.133433333333335735e+00,9.998193785302588177e-01,9.999894370531909882e-01,9.999946648635686941e-01,9.999843561358424671e-01,1.000045719955123813e+00
2.166766666666668950e+00,9.998136098024817953e-01,9.999939731914528895e-01,1.000001698725372146e+00,9.999886247142691920e-01,1.000047185203034372e+00
2.200100000000002165e+00,9.998190757570831755e-01,9.999961622299016195e-01,1.000005870726333734e+00,9.999912437545193100e-01,1.000045590353602742e+00
2.233433333333335380e+00,9.998339662146632500e-01,9.999963491965017104e-01,1.000007437232067753e+00,9.999924037485102835e-01,1.000041149246333472e+00
2.266766666666668595e+00,9.998561053240158092e-01,9.999949773259566577e-01,1.000006789354102033e+00,9.999923637799673637e-01,1.000034213447106746e+00
2.300100000000001810e+00,9.998831409004951265e-01,9.999925385406133183e-01,1.000004405383241757e+00,9.999914209808088428e-01,1.000025242123111280e+00
2.333433333333335025e+00,9.999127202279064486e-01,9.999895278078388960e-01,1.000000804823835576e+00,9.999898825346870135e-01,1.000014768345000915e+00
2.366766666666668240e+00,9.999426425332662571e-01,9.999864041132242587e-01,9.999965059857577332e-01,9.999880418708292362e-01,1.000003365364473096e+00
2.400100000000001454e+00,9.999709787506441128e-01,9.999835603557817310e-01,9.999919905010776766e-01,9.999861590865064542e-01,9.999916133536258522e-01
2.433433333333334669e+00,9.999961673167591103e-01,9.999813006449032038e-01,9.999876742481219605e-01,9.999844466791130149e-01,9.999800686069905131e-01
2.466766666666667884e+00,1.000017057709715163e+00,9.999798308096812249e-01,9.999838891799457397e-01,9.999830620345001586e-01,9.999692378607658583e-01
2.500100000000001099e+00,1.000032930866590952e+00,9.999792553675023177e-01,9.999808723751915096e-01,9.999821046032358884e-01,9.999595571724226861e-01
2.533433333333334314e+00,1.000043486609072163e+00,9.999795828984984203e-01,9.999787635470590574e-01,9.999816175466054169e-01,9.999513762100147307e-01
2.566766666666667529e+00,1.000048805353031200e+00,9.999807384900638585e-01,9.999776097679827780e-01,9.999815939374934182e-01,9.999449491362935039e-01
2.600100000000000744e+00,1.000049290468696617e+00,9.999825798122200515e-01,9.999773757243616279e-01,9.999819853143976367e-01,9.999404307941029968e-01
2.633433333333333959e+00,1.000045597557589261e+00,9.999849170032437673e-01,9.999779587678061521e-01,9.999827121702304922e-01,9.999378783902368450e-01
2.666766666666667174e+00,1.000038557318392307e+00,9.999875331975386361e-01,9.999792061883986394e-01,9.999836752174480203e-01,9.999372578741178019e-01
2.700100000000000389e+00,1.000029097876833140e+00,9.999902046256849975e-01,9.999809338303738970e-01,9.999847665116348150e-01,9.999384541674610771e-01
2.733433333333333604e+00,1.000018171723427995e+00,9.999927188451644966e-01,9.999829439040595069e-01,9.999858796569576214e-01,9.999412843886693603e-01
2.766766666666666818e+00,1.000006691342805176e+00,9.999948899955894976e-01,9.999850419567714033e-01,9.999869184859793148e-01,9.999455125657432664e-01
2.800100000000000033e+00,9.999954764652355665e-01,9.999965707067196563e-01,9.999870509637884819e-01,9.999878037969889277e-01,9.999508657630328257e-01
2.833433333333333248e+00,9.999852151488647367e-01,9.999976594414563547e-01,9.999888222754585998e-01,9.999884779241883237e-01,9.999570502162302699e-01
2.866766666666666463e+00,9.999764333402723082e-01,9.999981042613037552e-01,9.999902430294774769e-01,9.999889072297003523e-01,9.999637617305199289e-01
2.900099999999999678e+00,9.999694886974037633e-01,9.999979025741705385e-01,9.999912421933104811e-01,9.999890814746045242e-01,9.999707136699296228e-01
2.933433333333332893e+00,9.999645777027859062e-01,9.999970958783888086e-01,9.999917874547537000e-01,9.999890128298308811e-01,9.999776329592915403e-01
2.966766666666666108e+00,9.999617397074260783e-01,9.999957659876178573e-01,9.999918858114577036e-01,9.999887333857495619e-01,9.999842759380507262e-01
3.000099999999999323e+00,9.999608770504012645e-01,9.999940254924818417e-01,9.999915786777551219e-01,9.999882908159740680e-01,9.999904352984436695e-01
3.033433333333332538e+00,9.999617809795170453e-01,9.999920079477976342e-01,9.999909352081669534e-01,9.999877433668515891e-01,9.999959444976992406e-01
3.066766666666665753e+00,9.999641609004512599e-01,9.999898575691875680e-01,9.999900445543890015e-01,9.999871546715586312e-01,1.000000680341647019e+00
3.100099999999998968e+00,9.999676748164664231e-01,9.999877191679092947e-01,9.999890076156371377e-01,9.999865887073027260e-01,1.000004562546752185e+00
3.133433333333332182e+00,9.999719587903183049e-01,9.999857290148234101e-01,9.999879288889941265e-01,9.999861052285873297e-01,1.000007552327760285e+00
3.166766666666665397e+00,9.999766536337560963e-01,9.999840068857683839e-01,9.999869089507646969e-01,9.999857560091887088e-01,1.000009649014299118e+00
3.200099999999998612e+00,9.999814274665203007e-01,9.999826502679129980e-01,9.999860379950330502e-01,9.999855816515683671e-01,1.000010885581855469e+00
3.233433333333331827e+00,9.999859932486954150e-01,9.999817300998173897e-01,9.999853907343764226e-01,9.999856101200473857e-01,1.000011323363141580e+00
3.266766666666665042e+00,9.999901208488777282e-01,9.999812887188875843e-01,9.999850228424288501e-01,9.999858556092739992e-01,1.000011046285600669e+00
3.300099999999998257e+00,9.999936436323535460e-01,9.999813396915739894e-01,9.999849689958906218e-01,9.999863187409888665e-01,1.000010154948612451e+00
3.333433333333331472e+00,9.999964599165601653e-01,9.999818693774977785e-01,9.999852424616052504e-01,9.999869875561541166e-01,1.000008760811546438e+00
3.366766666666664687e+00,9.999985299332251332e-01,9.999828399480047425e-01,9.999858360820079728e-01,9.999878392179042397e-01,1.000006980717270233e+00
3.400099999999997902e+00,9.999998691440437071e-01,9.999841935233940715e-01,9.999867244405631350e-01,9.999888422364511253e-01,1.000004931926522955e+00
3.433433333333331117e+00,1.000000538877414469e+00,9.999858570621961151e-01,9.999878669393953423e-01,9.999899590171369423e-01,1.000002727788336543e+00
3.466766666666664332e+00,1.000000635293089468e+00,9.999877476323825176e-01,9.999892114955962752e-01,9.999911485348644824e-01,1.000000474124725258e+00
3.500099999999997546e+00,1.000000277648423808e+00,9.999897777141222299e-01,9.999906985587440067e-01,9.999923689527874249e-01,9.999982663654268800e-01
3.533433333333330761e+00,9.999995967468333635e-01,9.999918602225092989e-01,9.999922651674724161e-01,9.999935800277985898e-01,9.999961874319140964e-01
3.566766666666663976e+00,9.999987243109172974e-01,9.999939129917208014e-01,9.999938487940520648e-01,9.999947451771489249e-01,9.999943063811523869e-01
3.600099999999997191e+00,9.999977838553031351e-01,9.999958625242849619e-01,9.999953907689602683e-01,9.999958331166609593e-01,9.999926774493633763e-01
3.633433333333330406e+00,9.999968834522501293e-01,9.999976468749259828e-01,9.999968390412610209e-01,9.999968190540504676e-01,9.999913403946522061e-01
3.666766666666663621e+00,9.999961106015046175e-01,9.999992176046966774e-01,9.999981506899043859e-01,9.999976852017373741e-01,9.999903203603713875e-01
3.700099999999996836e+00,9.999955292475803947e-01,1.000000540803644533e+00,9.999992928402523518e-01,9.999984211761259179e-01,9.999896289503364954e-01
3.733433333333330051e+00,9.999951788371528316e-01,1.000001597232405670e+00,1.000000243706882008e+00,9.999990235972654462e-01,9.999892653170111556e-01
3.766766666666663266e+00,9.999950751870904098e-01,1.000002381677087993e+00,1.000000992522159349e+00,9.999994954974064099e-01,9.999892175680792361e-01
3.800099999999996481e+00,9.999952128479933089e-01,1.000002901646960485e+00,1.000001538943336987e+00,9.999998454034813022e-01,9.999894643523461468e-01
3.833433333333329696e+00,9.999955685921551041e-01,1.000003175565039149e+00,1.000001891953719690e+00,1.000000086220664386e+00,9.999899765555743114e-01
3.866766666666662911e+00,9.999961056303141582e-01,1.000003230610949867e+00,1.000002068382694009e+00,1.000000234005669064e+00,9.999907190428493076e-01
3.900099999999996125e+00,9.999967781734614425e-01,1.000003100378476395e+00,1.000002091176971586e+00,1.000000307694060675e+00,9.999916523958124470e-01
3.933433333333329340e+00,9.999975359767943051e-01,1.000002822493411436e+00,1.000001987547126436e+00,1.000000326935255535e+00,9.999927345935132328e-01
3.966766666666662555e+00,9.999983285993649940e-01,1.000002436351514978e+00,1.000001787136927112e+00,1.000000311722760271e+00,9.999939226278308224e-01
4.000099999999996214e+00,9.999991089948475631e-01,1.000001980993665773e+00,1.000001520224542251e+00,1.000000273904937398e+00,9.999951738190424599e-01
4.033433333333329429e+00,9.999998364314689470e-01,1.000001493311232448e+00,1.000001216149862149e+00,1.000000228805987712e+00,9.999964474827426342e-01
