datetime_beginning_utc,datetime_beginning_ept,area,ace_mw
5/31/2022 4:20:08 PM,5/31/2022 12:20:08 PM,PJM,-166.800000
5/31/2022 4:20:23 PM,5/31/2022 12:20:23 PM,PJM,-208.000000
5/31/2022 4:20:38 PM,5/31/2022 12:20:38 PM,PJM,-167.710000
5/31/2022 4:20:53 PM,5/31/2022 12:20:53 PM,PJM,-228.480000
5/31/2022 4:21:08 PM,5/31/2022 12:21:08 PM,PJM,-232.780000
5/31/2022 4:21:23 PM,5/31/2022 12:21:23 PM,PJM,-287.290000
5/31/2022 4:21:38 PM,5/31/2022 12:21:38 PM,PJM,-271.940000
5/31/2022 4:21:53 PM,5/31/2022 12:21:53 PM,PJM,-281.030000
5/31/2022 4:22:08 PM,5/31/2022 12:22:08 PM,PJM,-253.890000
5/31/2022 4:22:23 PM,5/31/2022 12:22:23 PM,PJM,-207.670000
5/31/2022 4:22:38 PM,5/31/2022 12:22:38 PM,PJM,-209.750000
5/31/2022 4:22:53 PM,5/31/2022 12:22:53 PM,PJM,-234.380000
5/31/2022 4:23:08 PM,5/31/2022 12:23:08 PM,PJM,-215.680000
5/31/2022 4:23:23 PM,5/31/2022 12:23:23 PM,PJM,-248.700000
5/31/2022 4:23:38 PM,5/31/2022 12:23:38 PM,PJM,-195.780000
5/31/2022 4:23:53 PM,5/31/2022 12:23:53 PM,PJM,-178.390000
5/31/2022 4:24:08 PM,5/31/2022 12:24:08 PM,PJM,-280.710000
5/31/2022 4:24:23 PM,5/31/2022 12:24:23 PM,PJM,-168.860000
5/31/2022 4:24:38 PM,5/31/2022 12:24:38 PM,PJM,-214.170000
5/31/2022 4:24:53 PM,5/31/2022 12:24:53 PM,PJM,-238.700000
5/31/2022 4:25:08 PM,5/31/2022 12:25:08 PM,PJM,-251.970000
5/31/2022 4:25:23 PM,5/31/2022 12:25:23 PM,PJM,-63.920000
5/31/2022 4:25:38 PM,5/31/2022 12:25:38 PM,PJM,-43.510000
5/31/2022 4:25:53 PM,5/31/2022 12:25:53 PM,PJM,-146.210000
5/31/2022 4:26:08 PM,5/31/2022 12:26:08 PM,PJM,-239.560000
5/31/2022 4:26:23 PM,5/31/2022 12:26:23 PM,PJM,-275.610000
5/31/2022 4:26:38 PM,5/31/2022 12:26:38 PM,PJM,-293.910000
5/31/2022 4:26:53 PM,5/31/2022 12:26:53 PM,PJM,-240.020000
5/31/2022 4:27:08 PM,5/31/2022 12:27:08 PM,PJM,-198.340000
5/31/2022 4:27:23 PM,5/31/2022 12:27:23 PM,PJM,-198.610000
5/31/2022 4:27:38 PM,5/31/2022 12:27:38 PM,PJM,-121.820000
5/31/2022 4:27:53 PM,5/31/2022 12:27:53 PM,PJM,-53.020000
5/31/2022 4:28:08 PM,5/31/2022 12:28:08 PM,PJM,-37.880000
5/31/2022 4:28:23 PM,5/31/2022 12:28:23 PM,PJM,-88.360000
5/31/2022 4:28:38 PM,5/31/2022 12:28:38 PM,PJM,-114.370000
5/31/2022 4:28:53 PM,5/31/2022 12:28:53 PM,PJM,-10.950000
5/31/2022 4:29:08 PM,5/31/2022 12:29:08 PM,PJM,72.200000
5/31/2022 4:29:23 PM,5/31/2022 12:29:23 PM,PJM,83.780000
5/31/2022 4:29:38 PM,5/31/2022 12:29:38 PM,PJM,-14.160000
5/31/2022 4:29:53 PM,5/31/2022 12:29:53 PM,PJM,-86.400000
5/31/2022 4:30:08 PM,5/31/2022 12:30:08 PM,PJM,57.330000
5/31/2022 4:30:23 PM,5/31/2022 12:30:23 PM,PJM,115.770000
5/31/2022 4:30:38 PM,5/31/2022 12:30:38 PM,PJM,99.610000
5/31/2022 4:30:53 PM,5/31/2022 12:30:53 PM,PJM,131.540000
5/31/2022 4:31:08 PM,5/31/2022 12:31:08 PM,PJM,47.520000
5/31/2022 4:31:23 PM,5/31/2022 12:31:23 PM,PJM,-41.820000
5/31/2022 4:31:38 PM,5/31/2022 12:31:38 PM,PJM,-124.680000
5/31/2022 4:31:53 PM,5/31/2022 12:31:53 PM,PJM,-148.420000
5/31/2022 4:32:08 PM,5/31/2022 12:32:08 PM,PJM,-73.490000
5/31/2022 4:32:23 PM,5/31/2022 12:32:23 PM,PJM,-110.830000
5/31/2022 4:32:38 PM,5/31/2022 12:32:38 PM,PJM,-107.400000
5/31/2022 4:32:53 PM,5/31/2022 12:32:53 PM,PJM,-208.610000
5/31/2022 4:33:08 PM,5/31/2022 12:33:08 PM,PJM,-323.290000
5/31/2022 4:33:23 PM,5/31/2022 12:33:23 PM,PJM,-370.750000
5/31/2022 4:33:38 PM,5/31/2022 12:33:38 PM,PJM,-492.600000
5/31/2022 4:33:53 PM,5/31/2022 12:33:53 PM,PJM,-547.780000
5/31/2022 4:34:08 PM,5/31/2022 12:34:08 PM,PJM,-584.670000
5/31/2022 4:34:23 PM,5/31/2022 12:34:23 PM,PJM,-583.820000
5/31/2022 4:34:38 PM,5/31/2022 12:34:38 PM,PJM,-583.820000
5/31/2022 4:34:53 PM,5/31/2022 12:34:53 PM,PJM,-609.620000
5/31/2022 4:35:08 PM,5/31/2022 12:35:08 PM,PJM,-609.620000
5/31/2022 4:35:23 PM,5/31/2022 12:35:23 PM,PJM,-609.620000
5/31/2022 4:35:38 PM,5/31/2022 12:35:38 PM,PJM,-609.620000
5/31/2022 4:35:53 PM,5/31/2022 12:35:53 PM,PJM,-609.620000
5/31/2022 4:36:08 PM,5/31/2022 12:36:08 PM,PJM,-594.860000
5/31/2022 4:36:23 PM,5/31/2022 12:36:23 PM,PJM,-652.770000
5/31/2022 4:36:38 PM,5/31/2022 12:36:38 PM,PJM,-681.140000
5/31/2022 4:36:53 PM,5/31/2022 12:36:53 PM,PJM,-703.650000
5/31/2022 4:37:08 PM,5/31/2022 12:37:08 PM,PJM,-686.790000
5/31/2022 4:37:23 PM,5/31/2022 12:37:23 PM,PJM,-708.970000
5/31/2022 4:37:38 PM,5/31/2022 12:37:38 PM,PJM,-689.580000
5/31/2022 4:37:53 PM,5/31/2022 12:37:53 PM,PJM,-628.840000
5/31/2022 4:38:08 PM,5/31/2022 12:38:08 PM,PJM,-639.260000
5/31/2022 4:38:23 PM,5/31/2022 12:38:23 PM,PJM,-651.620000
5/31/2022 4:38:38 PM,5/31/2022 12:38:38 PM,PJM,-590.500000
5/31/2022 4:38:53 PM,5/31/2022 12:38:53 PM,PJM,-574.490000
5/31/2022 4:39:08 PM,5/31/2022 12:39:08 PM,PJM,-716.140000
5/31/2022 4:39:23 PM,5/31/2022 12:39:23 PM,PJM,-738.600000
5/31/2022 4:39:38 PM,5/31/2022 12:39:38 PM,PJM,-799.890000
5/31/2022 4:39:53 PM,5/31/2022 12:39:53 PM,PJM,-676.990000
5/31/2022 4:40:08 PM,5/31/2022 12:40:08 PM,PJM,-601.620000
5/31/2022 4:40:23 PM,5/31/2022 12:40:23 PM,PJM,-334.540000
5/31/2022 4:40:38 PM,5/31/2022 12:40:38 PM,PJM,-262.660000
5/31/2022 4:40:53 PM,5/31/2022 12:40:53 PM,PJM,-140.930000
5/31/2022 4:41:08 PM,5/31/2022 12:41:08 PM,PJM,-173.060000
5/31/2022 4:41:23 PM,5/31/2022 12:41:23 PM,PJM,-52.050000
5/31/2022 4:41:38 PM,5/31/2022 12:41:38 PM,PJM,183.670000
5/31/2022 4:41:53 PM,5/31/2022 12:41:53 PM,PJM,293.950000
5/31/2022 4:42:08 PM,5/31/2022 12:42:08 PM,PJM,239.910000
5/31/2022 4:42:23 PM,5/31/2022 12:42:23 PM,PJM,220.300000
5/31/2022 4:42:38 PM,5/31/2022 12:42:38 PM,PJM,190.040000
5/31/2022 4:42:53 PM,5/31/2022 12:42:53 PM,PJM,218.180000
5/31/2022 4:43:08 PM,5/31/2022 12:43:08 PM,PJM,248.000000
5/31/2022 4:43:23 PM,5/31/2022 12:43:23 PM,PJM,243.500000
5/31/2022 4:43:38 PM,5/31/2022 12:43:38 PM,PJM,234.180000
5/31/2022 4:43:53 PM,5/31/2022 12:43:53 PM,PJM,190.880000
5/31/2022 4:44:08 PM,5/31/2022 12:44:08 PM,PJM,264.180000
5/31/2022 4:44:23 PM,5/31/2022 12:44:23 PM,PJM,314.450000
5/31/2022 4:44:38 PM,5/31/2022 12:44:38 PM,PJM,381.540000
5/31/2022 4:44:53 PM,5/31/2022 12:44:53 PM,PJM,392.570000
5/31/2022 4:45:08 PM,5/31/2022 12:45:08 PM,PJM,353.290000
5/31/2022 4:45:23 PM,5/31/2022 12:45:23 PM,PJM,283.080000
5/31/2022 4:45:38 PM,5/31/2022 12:45:38 PM,PJM,242.450000
5/31/2022 4:45:53 PM,5/31/2022 12:45:53 PM,PJM,225.650000
5/31/2022 4:46:08 PM,5/31/2022 12:46:08 PM,PJM,196.410000
5/31/2022 4:46:23 PM,5/31/2022 12:46:23 PM,PJM,198.420000
5/31/2022 4:46:38 PM,5/31/2022 12:46:38 PM,PJM,196.350000
5/31/2022 4:46:53 PM,5/31/2022 12:46:53 PM,PJM,258.160000
5/31/2022 4:47:08 PM,5/31/2022 12:47:08 PM,PJM,301.570000
5/31/2022 4:47:23 PM,5/31/2022 12:47:23 PM,PJM,333.410000
5/31/2022 4:47:38 PM,5/31/2022 12:47:38 PM,PJM,323.930000
5/31/2022 4:47:53 PM,5/31/2022 12:47:53 PM,PJM,325.810000
5/31/2022 4:48:08 PM,5/31/2022 12:48:08 PM,PJM,432.380000
5/31/2022 4:48:23 PM,5/31/2022 12:48:23 PM,PJM,473.030000
5/31/2022 4:48:38 PM,5/31/2022 12:48:38 PM,PJM,595.890000
5/31/2022 4:48:53 PM,5/31/2022 12:48:53 PM,PJM,640.770000
5/31/2022 4:49:08 PM,5/31/2022 12:49:08 PM,PJM,743.500000
5/31/2022 4:49:23 PM,5/31/2022 12:49:23 PM,PJM,789.980000
5/31/2022 4:49:38 PM,5/31/2022 12:49:38 PM,PJM,852.510000
5/31/2022 4:49:53 PM,5/31/2022 12:49:53 PM,PJM,846.130000
5/31/2022 4:50:08 PM,5/31/2022 12:50:08 PM,PJM,993.550000
