datetime_beginning_utc,datetime_beginning_ept,area,instantaneous_load
6/2/2022 3:55:00 PM,6/2/2022 11:55:00 AM,APS,6284.300000
6/2/2022 3:50:00 PM,6/2/2022 11:50:00 AM,APS,6348.200000
6/2/2022 3:45:00 PM,6/2/2022 11:45:00 AM,APS,6360.300000
6/2/2022 3:40:00 PM,6/2/2022 11:40:00 AM,APS,6263.700000
6/2/2022 3:35:00 PM,6/2/2022 11:35:00 AM,APS,6330.000000
6/2/2022 3:30:00 PM,6/2/2022 11:30:00 AM,APS,6261.800000
6/2/2022 3:25:00 PM,6/2/2022 11:25:00 AM,APS,6252.000000
6/2/2022 3:20:00 PM,6/2/2022 11:20:00 AM,APS,6145.000000
6/2/2022 3:15:00 PM,6/2/2022 11:15:00 AM,APS,6258.000000
6/2/2022 3:10:00 PM,6/2/2022 11:10:00 AM,APS,6254.600000
6/2/2022 3:05:00 PM,6/2/2022 11:05:00 AM,APS,6148.600000
6/2/2022 3:00:00 PM,6/2/2022 11:00:00 AM,APS,6126.000000
6/2/2022 2:55:00 PM,6/2/2022 10:55:00 AM,APS,6098.300000
6/2/2022 2:50:00 PM,6/2/2022 10:50:00 AM,APS,6123.300000
6/2/2022 2:45:00 PM,6/2/2022 10:45:00 AM,APS,6184.000000
6/2/2022 2:40:00 PM,6/2/2022 10:40:00 AM,APS,6178.900000
6/2/2022 2:35:00 PM,6/2/2022 10:35:00 AM,APS,6162.600000
6/2/2022 2:30:00 PM,6/2/2022 10:30:00 AM,APS,6091.500000
6/2/2022 2:25:00 PM,6/2/2022 10:25:00 AM,APS,6097.700000
6/2/2022 2:20:00 PM,6/2/2022 10:20:00 AM,APS,6014.900000
6/2/2022 2:15:00 PM,6/2/2022 10:15:00 AM,APS,6066.100000
6/2/2022 2:10:00 PM,6/2/2022 10:10:00 AM,APS,6063.100000
6/2/2022 2:05:00 PM,6/2/2022 10:05:00 AM,APS,5984.700000
6/2/2022 2:00:00 PM,6/2/2022 10:00:00 AM,APS,5887.300000
6/2/2022 1:55:00 PM,6/2/2022 9:55:00 AM,APS,5856.200000
6/2/2022 1:50:00 PM,6/2/2022 9:50:00 AM,APS,5898.400000
6/2/2022 1:45:00 PM,6/2/2022 9:45:00 AM,APS,5895.500000
6/2/2022 1:40:00 PM,6/2/2022 9:40:00 AM,APS,5869.000000
6/2/2022 1:35:00 PM,6/2/2022 9:35:00 AM,APS,5860.700000
6/2/2022 1:30:00 PM,6/2/2022 9:30:00 AM,APS,5786.100000
6/2/2022 1:25:00 PM,6/2/2022 9:25:00 AM,APS,5826.300000
6/2/2022 1:20:00 PM,6/2/2022 9:20:00 AM,APS,5692.800000
6/2/2022 1:15:00 PM,6/2/2022 9:15:00 AM,APS,5672.300000
6/2/2022 1:10:00 PM,6/2/2022 9:10:00 AM,APS,5641.800000
6/2/2022 1:05:00 PM,6/2/2022 9:05:00 AM,APS,5621.900000
6/2/2022 1:00:00 PM,6/2/2022 9:00:00 AM,APS,5623.100000
6/2/2022 12:55:00 PM,6/2/2022 8:55:00 AM,APS,5624.100000
6/2/2022 12:50:00 PM,6/2/2022 8:50:00 AM,APS,5624.400000
