datetime_beginning_utc,datetime_beginning_ept,requirement,regd_ssmw,rega_ssmw,regd_procure,rega_procure,total_mw,deficiency,rto_perfscore,rega_mileage,regd_mileage,rega_hourly,regd_hourly,is_approved,modified_datetime_utc
6/1/2022 4:00:00 AM,6/1/2022 12:00:00 AM,525,190.3,95.5,60.3,179.0,525.0,0.0,0.77,5.9,34.3,6.6,15.8,1,7/1/2022 10:06:07 AM
6/1/2022 5:00:00 AM,6/1/2022 1:00:00 AM,525,190.3,103.9,59.8,171.1,525.0,0.0,0.86,5.9,34.3,5.4,23.5,1,7/1/2022 10:06:07 AM
6/1/2022 6:00:00 AM,6/1/2022 2:00:00 AM,525,188.0,128.8,59.6,148.7,525.0,0.0,0.88,5.9,34.3,2.2,24.0,1,7/1/2022 10:06:07 AM
6/1/2022 7:00:00 AM,6/1/2022 3:00:00 AM,525,188.0,128.8,59.4,148.8,525.0,0.0,0.91,5.9,34.3,5.6,36.3,1,7/1/2022 10:06:07 AM
6/1/2022 8:00:00 AM,6/1/2022 4:00:00 AM,525,185.9,128.8,68.5,142.0,525.0,0.0,0.91,5.9,34.3,6.3,32.3,1,7/1/2022 10:06:07 AM
6/1/2022 9:00:00 AM,6/1/2022 5:00:00 AM,800,211.9,97.4,96.0,395.0,800.0,0.0,0.89,5.9,34.3,2.8,26.1,1,7/1/2022 10:06:07 AM
6/1/2022 10:00:00 AM,6/1/2022 6:00:00 AM,800,211.6,97.4,136.6,354.7,800.0,0.0,0.86,5.9,34.3,3.1,23.9,1,7/1/2022 10:06:07 AM
6/1/2022 11:00:00 AM,6/1/2022 7:00:00 AM,800,214.3,97.4,98.8,389.3,800.0,0.0,0.85,5.9,34.3,6.9,28.6,1,7/1/2022 10:06:07 AM
6/1/2022 12:00:00 PM,6/1/2022 8:00:00 AM,800,213.8,2.0,104.8,479.5,800.0,0.0,0.88,5.9,34.3,5.1,29.0,1,7/1/2022 10:06:07 AM
6/1/2022 1:00:00 PM,6/1/2022 9:00:00 AM,800,213.8,80.0,137.9,368.4,800.0,0.0,0.87,5.9,34.3,4.2,22.9,1,7/1/2022 10:06:07 AM
6/1/2022 2:00:00 PM,6/1/2022 10:00:00 AM,800,213.8,90.7,130.5,365.1,800.0,0.0,0.89,5.9,34.3,5.1,32.5,1,7/1/2022 10:06:07 AM
6/1/2022 3:00:00 PM,6/1/2022 11:00:00 AM,800,213.7,90.7,143.1,352.3,800.0,0.0,0.87,5.9,34.3,7.0,23.5,1,7/1/2022 10:06:07 AM
6/1/2022 4:00:00 PM,6/1/2022 12:00:00 PM,800,180.6,125.3,105.4,388.9,800.0,0.0,0.89,5.9,34.3,3.5,32.2,1,7/1/2022 10:06:07 AM
6/1/2022 5:00:00 PM,6/1/2022 1:00:00 PM,800,214.9,125.3,89.7,370.3,800.0,0.0,0.84,5.9,34.3,5.5,26.5,1,7/1/2022 10:06:07 AM
6/1/2022 6:00:00 PM,6/1/2022 2:00:00 PM,525,189.4,114.6,54.1,167.3,525.4,0.0,0.95,5.9,34.3,6.2,37.6,1,7/1/2022 10:06:07 AM
6/1/2022 7:00:00 PM,6/1/2022 3:00:00 PM,525,189.4,114.6,54.1,167.3,525.4,0.0,0.94,5.9,34.3,5.5,35.7,1,7/1/2022 10:06:07 AM
6/1/2022 8:00:00 PM,6/1/2022 4:00:00 PM,525,189.4,114.6,54.1,191.2,549.3,0.0,0.91,5.9,34.3,5.5,29.0,1,7/1/2022 10:06:07 AM
6/1/2022 9:00:00 PM,6/1/2022 5:00:00 PM,525,189.4,114.6,54.7,191.2,549.9,0.0,0.93,5.9,34.3,4.2,28.8,1,7/1/2022 10:06:07 AM
6/1/2022 10:00:00 PM,6/1/2022 6:00:00 PM,800,215.2,47.3,77.3,460.5,800.0,0.0,0.88,5.9,34.3,4.8,32.0,1,7/1/2022 10:06:07 AM
6/1/2022 11:00:00 PM,6/1/2022 7:00:00 PM,800,215.6,47.3,76.3,461.1,800.0,0.0,0.94,5.9,34.3,2.1,35.5,1,7/1/2022 10:06:07 AM
6/2/2022 12:00:00 AM,6/1/2022 8:00:00 PM,800,216.3,47.3,78.5,458.1,800.0,0.0,0.88,5.9,34.3,3.4,24.0,1,7/1/2022 10:06:06 AM
6/2/2022 1:00:00 AM,6/1/2022 9:00:00 PM,800,216.4,69.6,82.3,432.1,800.0,0.0,0.86,5.9,34.3,6.3,36.8,1,7/1/2022 10:06:06 AM
6/2/2022 2:00:00 AM,6/1/2022 10:00:00 PM,800,217.9,66.0,107.7,408.5,800.0,0.0,0.84,5.9,34.3,1.7,21.5,1,7/1/2022 10:06:06 AM
6/2/2022 3:00:00 AM,6/1/2022 11:00:00 PM,800,217.9,132.8,106.2,343.4,800.0,0.0,0.86,5.9,34.3,5.8,28.1,1,7/1/2022 10:06:06 AM
6/2/2022 4:00:00 AM,6/2/2022 12:00:00 AM,525,191.0,134.5,68.3,131.3,525.0,0.0,0.90,5.9,34.3,3.9,36.1,1,7/1/2022 10:06:07 AM
6/2/2022 5:00:00 AM,6/2/2022 1:00:00 AM,525,191.0,111.6,68.7,153.9,525.0,0.0,0.85,5.9,34.3,9.7,26.4,1,7/1/2022 10:06:07 AM
6/2/2022 6:00:00 AM,6/2/2022 2:00:00 AM,525,190.2,134.5,68.2,132.0,525.0,0.0,0.84,5.9,34.3,4.5,21.6,1,7/1/2022 10:06:07 AM
6/2/2022 7:00:00 AM,6/2/2022 3:00:00 AM,525,190.2,134.5,67.4,133.0,525.0,0.0,0.86,5.9,34.3,6.5,23.8,1,7/1/2022 10:06:07 AM
6/2/2022 8:00:00 AM,6/2/2022 4:00:00 AM,525,190.2,134.5,68.1,132.3,525.0,0.0,0.90,5.9,34.3,8.3,31.6,1,7/1/2022 10:06:07 AM
6/2/2022 9:00:00 AM,6/2/2022 5:00:00 AM,800,216.2,112.8,119.1,351.7,800.0,0.0,0.86,5.9,34.3,6.1,28.6,1,7/1/2022 10:06:07 AM
6/2/2022 10:00:00 AM,6/2/2022 6:00:00 AM,800,216.2,112.8,116.6,354.2,800.0,0.0,0.85,5.9,34.3,4.3,26.3,1,7/1/2022 10:06:07 AM
6/2/2022 11:00:00 AM,6/2/2022 7:00:00 AM,800,217.0,112.8,120.2,349.9,800.0,0.0,0.86,5.9,34.3,6.9,25.0,1,7/1/2022 10:06:07 AM
6/2/2022 12:00:00 PM,6/2/2022 8:00:00 AM,800,210.8,34.7,139.4,415.1,800.0,0.0,0.88,5.9,34.3,6.5,28.1,1,7/1/2022 10:06:07 AM
6/2/2022 1:00:00 PM,6/2/2022 9:00:00 AM,800,210.8,53.3,139.5,396.4,800.0,0.0,0.88,5.9,34.3,6.3,28.3,1,7/1/2022 10:06:07 AM
6/2/2022 2:00:00 PM,6/2/2022 10:00:00 AM,800,218.8,94.7,135.6,351.3,800.0,0.0,0.88,5.9,34.3,5.3,28.5,1,7/1/2022 10:06:07 AM
6/2/2022 3:00:00 PM,6/2/2022 11:00:00 AM,800,220.6,94.7,128.5,356.2,800.0,0.0,0.86,5.9,34.3,6.3,31.1,1,7/1/2022 10:06:07 AM
6/2/2022 4:00:00 PM,6/2/2022 12:00:00 PM,800,220.4,94.7,87.3,398.0,800.0,0.0,0.87,5.9,34.3,6.5,32.4,1,7/1/2022 10:06:07 AM
6/2/2022 5:00:00 PM,6/2/2022 1:00:00 PM,800,224.7,94.7,85.7,395.1,800.0,0.0,0.90,5.9,34.3,3.7,35.7,1,7/1/2022 10:06:07 AM
6/2/2022 6:00:00 PM,6/2/2022 2:00:00 PM,525,196.2,94.7,54.8,179.5,525.0,0.0,0.92,5.9,34.3,6.0,35.8,1,7/1/2022 10:06:07 AM
6/2/2022 7:00:00 PM,6/2/2022 3:00:00 PM,525,196.4,93.8,68.1,166.8,525.0,0.0,0.89,5.9,34.3,4.3,32.8,1,7/1/2022 10:06:07 AM
6/2/2022 8:00:00 PM,6/2/2022 4:00:00 PM,525,197.6,93.8,67.7,166.2,525.0,0.0,0.84,5.9,34.3,7.0,29.0,1,7/1/2022 10:06:07 AM
6/2/2022 9:00:00 PM,6/2/2022 5:00:00 PM,525,197.6,93.8,71.0,163.1,525.0,0.0,0.87,5.9,34.3,8.9,26.4,1,7/1/2022 10:06:07 AM
6/2/2022 10:00:00 PM,6/2/2022 6:00:00 PM,800,226.6,83.8,120.6,369.3,800.0,0.0,0.90,5.9,34.3,5.9,34.0,1,7/1/2022 10:06:07 AM
6/2/2022 11:00:00 PM,6/2/2022 7:00:00 PM,800,222.6,84.8,129.6,363.4,800.0,0.0,0.91,5.9,34.3,2.4,28.5,1,7/1/2022 10:06:07 AM
6/3/2022 12:00:00 AM,6/2/2022 8:00:00 PM,800,222.6,84.8,106.8,386.0,800.0,0.0,0.91,5.9,34.3,4.5,35.1,1,7/1/2022 10:06:07 AM
6/3/2022 1:00:00 AM,6/2/2022 9:00:00 PM,800,222.7,64.2,135.7,377.4,800.0,0.0,0.89,5.9,34.3,4.9,22.9,1,7/1/2022 10:06:07 AM
6/3/2022 2:00:00 AM,6/2/2022 10:00:00 PM,800,222.7,123.7,139.3,314.5,800.0,0.0,0.85,5.9,34.3,6.1,20.6,1,7/1/2022 10:06:07 AM
6/3/2022 3:00:00 AM,6/2/2022 11:00:00 PM,800,222.8,123.7,137.8,315.7,800.0,0.0,0.87,5.9,34.3,6.8,32.8,1,7/1/2022 10:06:07 AM
6/3/2022 4:00:00 AM,6/3/2022 12:00:00 AM,525,194.7,88.6,67.5,174.6,525.0,0.0,0.88,5.9,34.3,1.8,33.4,1,7/1/2022 10:06:07 AM
6/3/2022 5:00:00 AM,6/3/2022 1:00:00 AM,525,194.7,66.8,69.5,194.1,525.0,0.0,0.85,5.9,34.3,10.3,26.2,1,7/1/2022 10:06:07 AM
6/3/2022 6:00:00 AM,6/3/2022 2:00:00 AM,525,194.7,66.8,68.7,195.2,525.0,0.0,0.90,5.9,34.3,6.1,34.2,1,7/1/2022 10:06:06 AM
6/3/2022 7:00:00 AM,6/3/2022 3:00:00 AM,525,194.8,68.8,66.8,194.9,525.0,0.0,0.89,5.9,34.3,8.2,31.0,1,7/1/2022 10:06:06 AM
6/3/2022 8:00:00 AM,6/3/2022 4:00:00 AM,525,194.8,68.8,67.0,194.5,525.0,0.0,0.90,5.9,34.3,8.6,23.1,1,7/1/2022 10:06:06 AM
6/3/2022 9:00:00 AM,6/3/2022 5:00:00 AM,800,222.0,68.8,97.7,411.5,800.0,0.0,0.88,5.9,34.3,5.3,28.5,1,7/1/2022 10:06:06 AM
6/3/2022 10:00:00 AM,6/3/2022 6:00:00 AM,800,222.0,79.7,138.6,359.6,800.0,0.0,0.87,5.9,34.3,2.8,23.2,1,7/1/2022 10:06:07 AM
6/3/2022 11:00:00 AM,6/3/2022 7:00:00 AM,800,221.9,35.7,98.5,443.9,800.0,0.0,0.86,5.9,34.3,5.5,31.1,1,7/1/2022 10:06:07 AM
6/3/2022 12:00:00 PM,6/3/2022 8:00:00 AM,800,212.7,35.7,107.2,444.2,800.0,0.0,0.88,5.9,34.3,5.2,34.8,1,7/1/2022 10:06:07 AM
6/3/2022 1:00:00 PM,6/3/2022 9:00:00 AM,800,193.6,35.7,147.0,423.6,800.0,0.0,0.86,5.9,34.3,6.3,29.5,1,7/1/2022 10:06:07 AM
6/3/2022 2:00:00 PM,6/3/2022 10:00:00 AM,800,212.5,35.7,99.6,452.4,800.0,0.0,0.85,5.9,34.3,5.5,37.3,1,7/1/2022 10:06:07 AM
6/3/2022 3:00:00 PM,6/3/2022 11:00:00 AM,800,183.9,76.7,104.3,435.4,800.0,0.0,0.90,5.9,34.3,4.0,36.1,1,7/1/2022 10:06:07 AM
6/3/2022 4:00:00 PM,6/3/2022 12:00:00 PM,800,183.3,117.7,135.8,363.2,800.0,0.0,0.86,5.9,34.3,4.4,37.0,1,7/1/2022 10:06:07 AM
6/3/2022 5:00:00 PM,6/3/2022 1:00:00 PM,800,216.0,94.9,95.4,393.7,800.0,0.0,0.89,5.9,34.3,5.2,39.8,1,7/1/2022 10:06:07 AM
6/3/2022 6:00:00 PM,6/3/2022 2:00:00 PM,525,190.4,103.9,57.4,173.4,525.0,0.0,0.93,5.9,34.3,7.8,34.3,1,7/1/2022 10:06:07 AM
6/3/2022 7:00:00 PM,6/3/2022 3:00:00 PM,525,187.2,103.0,58.5,176.4,525.0,0.0,0.91,5.9,34.3,6.7,31.6,1,7/1/2022 10:06:07 AM
6/3/2022 8:00:00 PM,6/3/2022 4:00:00 PM,525,186.6,93.1,59.6,185.7,525.0,0.0,0.91,5.9,34.3,6.5,37.0,1,7/1/2022 10:06:07 AM
6/3/2022 9:00:00 PM,6/3/2022 5:00:00 PM,525,197.6,93.1,70.1,164.3,525.0,0.0,0.90,5.9,34.3,7.4,36.2,1,7/1/2022 10:06:07 AM
6/3/2022 10:00:00 PM,6/3/2022 6:00:00 PM,800,226.5,94.0,122.6,356.8,800.0,0.0,0.86,5.9,34.3,5.9,26.0,1,7/1/2022 10:06:07 AM
6/3/2022 11:00:00 PM,6/3/2022 7:00:00 PM,800,225.2,94.9,108.7,371.2,800.0,0.0,0.89,5.9,34.3,4.3,36.7,1,7/1/2022 10:06:07 AM
6/4/2022 12:00:00 AM,6/3/2022 8:00:00 PM,800,226.5,115.7,104.2,353.6,800.0,0.0,0.88,5.9,34.3,5.0,30.8,1,7/1/2022 10:06:07 AM
6/4/2022 1:00:00 AM,6/3/2022 9:00:00 PM,800,225.7,63.8,90.8,419.5,800.0,0.0,0.90,5.9,34.3,6.6,31.7,1,7/1/2022 10:06:07 AM
6/4/2022 2:00:00 AM,6/3/2022 10:00:00 PM,800,226.2,56.4,106.3,411.2,800.0,0.0,0.88,5.9,34.3,6.9,32.5,1,7/1/2022 10:06:07 AM
6/4/2022 3:00:00 AM,6/3/2022 11:00:00 PM,800,225.8,45.5,103.0,425.6,800.0,0.0,0.87,5.9,34.3,5.9,26.3,1,7/1/2022 10:06:07 AM
6/4/2022 4:00:00 AM,6/4/2022 12:00:00 AM,525,196.0,78.5,66.8,183.7,525.0,0.0,0.90,5.9,34.5,4.5,29.5,1,7/1/2022 10:06:07 AM
6/4/2022 5:00:00 AM,6/4/2022 1:00:00 AM,525,196.0,68.3,66.9,194.1,525.0,0.0,0.88,5.9,34.5,5.5,18.4,1,7/1/2022 10:06:07 AM
6/4/2022 6:00:00 AM,6/4/2022 2:00:00 AM,525,196.0,68.7,66.3,194.2,525.0,0.0,0.91,5.9,34.5,2.2,36.9,1,7/1/2022 10:06:07 AM
6/4/2022 7:00:00 AM,6/4/2022 3:00:00 AM,525,196.0,69.1,66.0,194.2,525.0,0.0,0.89,5.9,34.5,4.9,14.0,1,7/1/2022 10:06:07 AM
6/4/2022 8:00:00 AM,6/4/2022 4:00:00 AM,525,193.7,69.1,73.0,189.1,525.0,0.0,0.91,5.9,34.5,3.0,31.1,1,7/1/2022 10:06:07 AM
6/4/2022 9:00:00 AM,6/4/2022 5:00:00 AM,800,223.0,69.6,102.7,404.6,800.0,0.0,0.91,5.9,34.5,3.8,36.8,1,7/1/2022 10:06:07 AM
6/4/2022 10:00:00 AM,6/4/2022 6:00:00 AM,800,223.0,87.6,131.6,357.6,800.0,0.0,0.91,5.9,34.5,2.4,24.9,1,7/1/2022 10:06:07 AM
6/4/2022 11:00:00 AM,6/4/2022 7:00:00 AM,800,224.7,87.6,132.6,354.8,800.0,0.0,0.90,5.9,34.5,3.8,35.8,1,7/1/2022 10:06:07 AM
6/4/2022 12:00:00 PM,6/4/2022 8:00:00 AM,800,223.2,87.6,142.3,346.5,800.0,0.0,0.89,5.9,34.5,6.4,33.8,1,7/1/2022 10:06:06 AM
6/4/2022 1:00:00 PM,6/4/2022 9:00:00 AM,800,223.1,57.6,146.2,372.8,800.0,0.0,0.87,5.9,34.5,6.6,28.1,1,7/1/2022 10:06:06 AM
6/4/2022 2:00:00 PM,6/4/2022 10:00:00 AM,800,223.1,62.1,146.4,368.3,800.0,0.0,0.89,5.9,34.5,3.9,30.7,1,7/1/2022 10:06:06 AM
6/4/2022 3:00:00 PM,6/4/2022 11:00:00 AM,800,223.1,73.1,145.7,358.0,800.0,0.0,0.87,5.9,34.5,5.5,25.8,1,7/1/2022 10:06:06 AM
6/4/2022 4:00:00 PM,6/4/2022 12:00:00 PM,800,223.1,73.1,104.0,399.7,800.0,0.0,0.90,5.9,34.5,5.7,33.1,1,7/1/2022 10:06:07 AM
6/4/2022 5:00:00 PM,6/4/2022 1:00:00 PM,800,222.8,50.3,94.4,432.3,800.0,0.0,0.91,5.9,34.5,5.4,27.3,1,7/1/2022 10:06:07 AM
6/4/2022 6:00:00 PM,6/4/2022 2:00:00 PM,525,195.7,50.3,58.3,220.9,525.0,0.0,0.92,5.9,34.5,6.8,32.1,1,7/1/2022 10:06:07 AM
6/4/2022 7:00:00 PM,6/4/2022 3:00:00 PM,525,195.7,50.3,58.2,220.9,525.0,0.0,0.93,5.9,34.5,6.2,32.7,1,7/1/2022 10:06:07 AM
6/4/2022 8:00:00 PM,6/4/2022 4:00:00 PM,525,195.6,50.3,58.2,221.1,525.0,0.0,0.94,5.9,34.5,3.7,27.0,1,7/1/2022 10:06:07 AM
6/4/2022 9:00:00 PM,6/4/2022 5:00:00 PM,525,195.6,61.3,58.2,210.1,525.0,0.0,0.91,5.9,34.5,5.8,27.2,1,7/1/2022 10:06:07 AM
6/4/2022 10:00:00 PM,6/4/2022 6:00:00 PM,800,224.5,61.3,101.6,412.3,800.0,0.0,0.89,5.9,34.5,5.5,31.8,1,7/1/2022 10:06:07 AM
6/4/2022 11:00:00 PM,6/4/2022 7:00:00 PM,800,220.6,61.3,133.4,384.3,800.0,0.0,0.90,5.9,34.5,2.7,26.0,1,7/1/2022 10:06:07 AM
6/5/2022 12:00:00 AM,6/4/2022 8:00:00 PM,800,220.0,61.3,83.0,435.5,800.0,0.0,0.90,5.9,34.5,4.6,33.8,1,7/1/2022 10:06:07 AM
6/5/2022 1:00:00 AM,6/4/2022 9:00:00 PM,800,220.5,86.7,87.3,405.5,800.0,0.0,0.87,5.9,34.5,5.4,26.8,1,7/1/2022 10:06:07 AM
6/5/2022 2:00:00 AM,6/4/2022 10:00:00 PM,800,220.9,109.5,105.1,364.3,800.0,0.0,0.86,5.9,34.5,6.7,28.8,1,7/1/2022 10:06:07 AM
6/5/2022 3:00:00 AM,6/4/2022 11:00:00 PM,800,220.9,87.6,102.7,388.8,800.0,0.0,0.89,5.9,34.5,4.8,28.0,1,7/1/2022 10:06:07 AM
6/5/2022 4:00:00 AM,6/5/2022 12:00:00 AM,525,193.1,170.6,68.7,92.7,525.0,0.0,0.92,5.9,34.4,6.2,35.0,1,7/1/2022 10:06:07 AM
6/5/2022 5:00:00 AM,6/5/2022 1:00:00 AM,525,192.5,171.4,69.3,92.1,525.0,0.0,0.93,5.9,34.4,7.5,27.4,1,7/1/2022 10:06:07 AM
6/5/2022 6:00:00 AM,6/5/2022 2:00:00 AM,525,192.5,171.8,68.8,92.1,525.0,0.0,0.92,5.9,34.4,7.5,30.5,1,7/1/2022 10:06:07 AM
6/5/2022 7:00:00 AM,6/5/2022 3:00:00 AM,525,192.5,172.3,68.7,91.6,525.0,0.0,0.89,5.9,34.4,5.2,35.7,1,7/1/2022 10:06:07 AM
6/5/2022 8:00:00 AM,6/5/2022 4:00:00 AM,525,190.2,69.1,75.8,189.9,525.0,0.0,0.92,5.9,34.4,7.7,28.6,1,7/1/2022 10:06:07 AM
6/5/2022 9:00:00 AM,6/5/2022 5:00:00 AM,800,218.4,172.7,106.4,301.9,800.0,0.0,0.90,5.9,34.4,3.7,26.0,1,7/1/2022 10:06:07 AM
6/5/2022 10:00:00 AM,6/5/2022 6:00:00 AM,800,218.4,190.7,107.0,283.5,800.0,0.0,0.90,5.9,34.4,4.1,23.3,1,7/1/2022 10:06:07 AM
6/5/2022 11:00:00 AM,6/5/2022 7:00:00 AM,800,220.1,190.7,104.1,285.2,800.0,0.0,0.90,5.9,34.4,4.3,33.7,1,7/1/2022 10:06:07 AM
6/5/2022 12:00:00 PM,6/5/2022 8:00:00 AM,800,218.6,149.4,110.5,321.4,800.0,0.0,0.89,5.9,34.4,4.2,37.6,1,7/1/2022 10:06:07 AM
6/5/2022 1:00:00 PM,6/5/2022 9:00:00 AM,800,218.6,86.6,111.5,383.2,800.0,0.0,0.90,5.9,34.4,5.7,30.2,1,7/1/2022 10:06:07 AM
6/5/2022 2:00:00 PM,6/5/2022 10:00:00 AM,800,218.6,86.6,142.4,352.3,800.0,0.0,0.90,5.9,34.4,6.1,24.9,1,7/1/2022 10:06:07 AM
6/5/2022 3:00:00 PM,6/5/2022 11:00:00 AM,800,218.6,86.6,130.4,364.4,800.0,0.0,0.92,5.9,34.4,4.7,33.5,1,7/1/2022 10:06:07 AM
6/5/2022 4:00:00 PM,6/5/2022 12:00:00 PM,800,218.6,116.4,131.8,332.9,800.0,0.0,0.90,5.9,34.4,4.3,33.3,1,7/1/2022 10:06:07 AM
6/5/2022 5:00:00 PM,6/5/2022 1:00:00 PM,800,218.2,74.8,96.2,410.7,800.0,0.0,0.90,5.9,34.4,4.2,30.9,1,7/1/2022 10:06:07 AM
6/5/2022 6:00:00 PM,6/5/2022 2:00:00 PM,525,189.8,197.1,67.2,71.5,525.7,0.0,0.93,5.9,34.4,7.9,25.9,1,7/1/2022 10:06:07 AM
6/5/2022 7:00:00 PM,6/5/2022 3:00:00 PM,525,189.8,97.6,67.2,170.2,525.0,0.0,0.94,5.9,34.4,6.3,26.9,1,7/1/2022 10:06:06 AM
6/5/2022 8:00:00 PM,6/5/2022 4:00:00 PM,525,192.1,97.6,59.3,176.0,525.0,0.0,0.94,5.9,34.4,8.6,27.7,1,7/1/2022 10:06:06 AM
6/5/2022 9:00:00 PM,6/5/2022 5:00:00 PM,525,192.1,97.9,59.3,175.7,525.0,0.0,0.94,5.9,34.4,3.1,36.4,1,7/1/2022 10:06:06 AM
6/5/2022 10:00:00 PM,6/5/2022 6:00:00 PM,800,219.0,98.3,79.5,402.9,800.0,0.0,0.92,5.9,34.4,3.6,43.1,1,7/1/2022 10:06:06 AM
6/5/2022 11:00:00 PM,6/5/2022 7:00:00 PM,800,219.4,98.3,88.9,393.3,800.0,0.0,0.89,5.9,34.4,4.1,36.7,1,7/1/2022 10:06:06 AM
6/6/2022 12:00:00 AM,6/5/2022 8:00:00 PM,800,219.5,98.3,89.9,392.3,800.0,0.0,0.89,5.9,34.4,3.8,39.9,1,7/1/2022 10:06:07 AM
6/6/2022 1:00:00 AM,6/5/2022 9:00:00 PM,800,220.2,98.3,134.6,346.6,800.0,0.0,0.85,5.9,34.4,4.3,16.7,1,7/1/2022 10:06:07 AM
6/6/2022 2:00:00 AM,6/5/2022 10:00:00 PM,800,220.2,98.3,138.3,343.3,800.0,0.0,0.87,5.9,34.4,6.3,24.0,1,7/1/2022 10:06:07 AM
6/6/2022 3:00:00 AM,6/5/2022 11:00:00 PM,800,220.2,69.5,133.1,376.9,800.0,0.0,0.84,5.9,34.4,5.9,25.7,1,7/1/2022 10:06:07 AM
6/6/2022 4:00:00 AM,6/6/2022 12:00:00 AM,525,188.3,191.8,73.3,71.7,525.0,0.0,0.89,5.9,34.2,7.1,37.6,1,7/1/2022 10:06:07 AM
6/6/2022 5:00:00 AM,6/6/2022 1:00:00 AM,525,188.3,191.8,73.7,71.4,525.0,0.0,0.91,5.9,34.2,6.5,30.7,1,7/1/2022 10:06:07 AM
6/6/2022 6:00:00 AM,6/6/2022 2:00:00 AM,525,188.3,88.6,73.5,174.8,525.0,0.0,0.89,5.9,34.2,6.3,32.9,1,7/1/2022 10:06:07 AM
6/6/2022 7:00:00 AM,6/6/2022 3:00:00 AM,525,188.3,162.9,73.1,100.9,525.0,0.0,0.88,5.9,34.2,7.6,25.5,1,7/1/2022 10:06:07 AM
