datetime_beginning_utc,datetime_beginning_ept,locale,service,mcp,mcp_capped,reg_ccp,reg_pcp,as_req_mw,total_mw,as_mw,ss_mw,tier1_mw,ircmwt2,dsr_as_mw,nsr_mw,regd_mw
6/1/2022 4:00:00 AM,6/1/2022 12:00:00 AM,PJM_RTO,REG,17.19,17.19,16.28,0.91,525.00,511.00,511.00,284.20,0.00,0.00,7.10,,141.00
6/1/2022 4:00:00 AM,6/1/2022 12:00:00 AM,PJM_RTO,SR,1.29,1.29,,,1775.10,1939.70,344.40,0.00,1595.30,0.00,270.90,,
6/1/2022 4:00:00 AM,6/1/2022 12:00:00 AM,PJM_RTO,PR,0.00,0.00,,,2567.60,3376.60,1781.30,0.00,1595.30,0.00,270.90,1436.90,
6/1/2022 5:00:00 AM,6/1/2022 1:00:00 AM,PJM_RTO,REG,42.45,42.45,39.77,2.68,525.00,515.30,515.30,291.90,0.00,0.00,6.60,,139.90
6/1/2022 5:00:00 AM,6/1/2022 1:00:00 AM,PJM_RTO,SR,11.75,11.75,,,1695.60,1702.30,475.50,0.00,1226.80,0.00,252.70,,
6/1/2022 5:00:00 AM,6/1/2022 1:00:00 AM,PJM_RTO,PR,0.00,0.00,,,2448.40,3151.20,1924.40,0.00,1226.80,0.00,252.70,1448.90,
6/1/2022 6:00:00 AM,6/1/2022 2:00:00 AM,PJM_RTO,REG,34.04,34.04,33.37,0.67,525.00,504.90,504.90,316.80,0.00,0.00,5.80,,138.90
6/1/2022 6:00:00 AM,6/1/2022 2:00:00 AM,PJM_RTO,SR,0.30,0.30,,,1737.40,2370.00,308.90,0.00,2061.10,0.00,271.50,,
6/1/2022 6:00:00 AM,6/1/2022 2:00:00 AM,PJM_RTO,PR,0.00,0.00,,,2511.10,3594.90,1533.80,0.00,2061.10,0.00,271.50,1224.90,
6/1/2022 7:00:00 AM,6/1/2022 3:00:00 AM,PJM_RTO,REG,32.00,32.00,29.23,2.77,525.00,525.00,525.00,316.80,0.00,0.00,5.60,,138.70
6/1/2022 7:00:00 AM,6/1/2022 3:00:00 AM,PJM_RTO,SR,0.00,0.00,,,1626.30,2762.90,0.50,0.00,2762.40,0.00,0.00,,
6/1/2022 7:00:00 AM,6/1/2022 3:00:00 AM,PJM_RTO,PR,0.00,0.00,,,2344.40,3732.90,970.50,0.00,2762.40,0.00,0.00,970.00,
6/1/2022 8:00:00 AM,6/1/2022 4:00:00 AM,PJM_RTO,REG,26.84,26.84,23.75,3.09,525.00,525.00,525.00,314.70,0.00,0.00,17.60,,146.00
6/1/2022 8:00:00 AM,6/1/2022 4:00:00 AM,PJM_RTO,SR,0.00,0.00,,,1620.50,2974.70,0.40,0.00,2974.30,0.00,0.00,,
6/1/2022 8:00:00 AM,6/1/2022 4:00:00 AM,PJM_RTO,PR,0.00,0.00,,,2335.80,3823.70,849.40,0.00,2974.30,0.00,0.00,849.00,
6/1/2022 9:00:00 AM,6/1/2022 5:00:00 AM,PJM_RTO,REG,34.86,34.86,33.48,1.38,800.00,800.00,800.00,309.30,0.00,0.00,25.60,,149.00
6/1/2022 9:00:00 AM,6/1/2022 5:00:00 AM,PJM_RTO,SR,0.00,0.00,,,1580.80,1926.80,0.50,0.00,1926.30,0.00,0.00,,
6/1/2022 9:00:00 AM,6/1/2022 5:00:00 AM,PJM_RTO,PR,0.00,0.00,,,2276.10,3114.30,1188.00,0.00,1926.30,0.00,0.00,1187.50,
6/1/2022 10:00:00 AM,6/1/2022 6:00:00 AM,PJM_RTO,REG,139.14,139.14,137.41,1.73,800.00,756.50,756.50,309.00,0.00,0.00,29.70,,181.00
6/1/2022 10:00:00 AM,6/1/2022 6:00:00 AM,PJM_RTO,SR,0.08,0.08,,,1580.10,2255.50,188.50,10.00,2067.00,0.00,188.00,,
6/1/2022 10:00:00 AM,6/1/2022 6:00:00 AM,PJM_RTO,PR,0.00,0.00,,,2275.10,3459.20,1392.20,10.00,2067.00,0.00,188.00,1203.70,
6/1/2022 11:00:00 AM,6/1/2022 7:00:00 AM,PJM_RTO,REG,60.07,60.07,56.66,3.41,800.00,802.60,802.60,311.70,0.00,0.00,33.90,,155.50
