time,ace,up,dn,in
0.0,0.0,231.03731182923343,-231.0373118292335,0.0
4.0,-5.504467445772826,231.03731182923343,-231.0373118292335,-5.504467445772826
8.0,-6.6948556323226365,231.03731182923343,-231.0373118292335,-6.6948556323226365
12.0,-9.077173976708833,231.03731182923343,-231.0373118292335,-9.077173976708833
16.0,-10.352670371697533,231.03731182923343,-231.0373118292335,-10.352670371697533
20.0,-12.017413090012823,231.03731182923343,-231.0373118292335,-12.017413090012823
24.0,-13.46537102365433,231.03731182923343,-231.0373118292335,-13.46537102365433
28.0,-14.893034411064631,231.03731182923343,-231.0373118292335,-14.893034411064631
32.0,-16.28213940915837,231.03731182923343,-231.0373118292335,-16.28213940915837
36.0,-17.647623208338928,231.03731182923343,-231.0373118292335,-17.647623208338928
40.0,-18.182097462164855,231.03731182923343,-231.0373118292335,-18.182097462164855
44.0,-19.540868657812982,231.03731182923343,-231.0373118292335,-19.540868657812982
48.0,-20.649673979282955,231.03731182923343,-231.0373118292335,-20.649673979282955
52.0,-21.900851338888895,231.03731182923343,-231.0373118292335,-21.900851338888895
56.0,-23.008833527328534,231.03731182923343,-231.0373118292335,-23.008833527328534
60.0,-24.125909837697137,231.03731182923343,-231.0373118292335,-24.125909837697137
64.0,-23.67144160729272,231.03731182923343,-231.0373118292335,-23.67144160729272
68.0,-21.214069558705674,231.03731182923343,-231.0373118292335,-21.214069558705674
72.0,-18.395259410958502,231.03731182923343,-231.0373118292335,-18.395259410958502
76.0,-14.799756820922166,231.03731182923343,-231.0373118292335,-14.799756820922166
80.0,-20.110632186276284,231.03731182923343,-231.0373118292335,-20.110632186276284
84.0,-28.966048209264933,231.03731182923343,-231.0373118292335,-28.966048209264933
88.0,-39.53073805198055,231.03731182923343,-231.0373118292335,-39.53073805198055
92.0,-51.013083775073085,231.03731182923343,-231.0373118292335,-51.013083775073085
96.0,-53.36819887429682,231.03731182923343,-231.0373118292335,-53.36819887429682
100.0,-56.184456301457054,231.03731182923343,-231.0373118292335,-56.184456301457054
104.0,-56.54868587531128,231.03731182923343,-231.0373118292335,-56.54868587531128
108.0,-55.69436441876774,231.03731182923343,-231.0373118292335,-55.69436441876774
112.0,-52.93657447178381,231.03731182923343,-231.0373118292335,-52.93657447178381
116.0,-49.54779396451705,231.03731182923343,-231.0373118292335,-49.54779396451705
120.0,-45.44587023032508,231.03731182923343,-231.0373118292335,-45.44587023032508
124.0,-41.186046760413895,231.03731182923343,-231.0373118292335,-41.186046760413895
128.0,-37.783648934572994,231.03731182923343,-231.0373118292335,-37.783648934572994
132.0,-33.381907850779214,231.03731182923343,-231.0373118292335,-33.381907850779214
136.0,-30.0116927049924,231.03731182923343,-231.0373118292335,-30.0116927049924
140.0,-34.403115643091006,231.03731182923343,-231.0373118292335,-34.403115643091006
144.0,-42.67883514468414,231.03731182923343,-231.0373118292335,-42.67883514468414
148.0,-52.23821481317247,231.03731182923343,-231.0373118292335,-52.23821481317247
152.0,-63.48712596130856,231.03731182923343,-231.0373118292335,-63.48712596130856
156.0,-69.87068327647563,231.03731182923343,-231.0373118292335,-69.87068327647563
160.0,-77.60629384742485,231.03731182923343,-231.0373118292335,-77.60629384742485
164.0,-83.26691797516035,231.03731182923343,-231.0373118292335,-83.26691797516035
168.0,-85.97015586977167,231.03731182923343,-231.0373118292335,-85.97015586977167
172.0,-74.18761500143944,231.03731182923343,-231.0373118292335,-74.18761500143944
176.0,-63.40092146663734,231.03731182923343,-231.0373118292335,-63.40092146663734
180.0,-47.82944035448479,231.03731182923343,-231.0373118292335,-47.82944035448479
184.0,-31.4304178865514,231.03731182923343,-231.0373118292335,-31.4304178865514
188.0,-13.79758348625209,231.03731182923343,-231.0373118292335,-13.79758348625209
192.0,4.560514813125071,231.03731182923343,-231.0373118292335,4.560514813125071
196.0,22.81683767696532,231.03731182923343,-231.0373118292335,22.81683767696532
200.0,35.27240718614901,231.03731182923343,-231.0373118292335,35.27240718614901
204.0,48.180748384260156,231.03731182923343,-231.0373118292335,48.180748384260156
208.0,59.365783679689265,231.03731182923343,-231.0373118292335,59.365783679689265
212.0,68.88898325651233,231.03731182923343,-231.0373118292335,68.88898325651233
216.0,68.48290944773142,231.03731182923343,-231.0373118292335,68.48290944773142
220.0,67.86417902332761,231.03731182923343,-231.0373118292335,67.86417902332761
224.0,63.329578101985526,231.03731182923343,-231.0373118292335,63.329578101985526
228.0,59.663692691409075,231.03731182923343,-231.0373118292335,59.663692691409075
232.0,57.051821180141026,231.03731182923343,-231.0373118292335,57.051821180141026
236.0,54.13979256453493,231.03731182923343,-231.0373118292335,54.13979256453493
240.0,51.53842264238055,231.03731182923343,-231.0373118292335,51.53842264238055
244.0,48.40575636778439,231.03731182923343,-231.0373118292335,48.40575636778439
248.0,44.7368710646568,231.03731182923343,-231.0373118292335,44.7368710646568
252.0,40.94414884120527,231.03731182923343,-231.0373118292335,40.94414884120527
256.0,36.92215867534572,231.03731182923343,-231.0373118292335,36.92215867534572
260.0,40.954019249327715,231.03731182923343,-231.0373118292335,40.954019249327715
264.0,46.63119220832874,231.03731182923343,-231.0373118292335,46.63119220832874
268.0,54.79308090030648,231.03731182923343,-231.0373118292335,54.79308090030648
272.0,63.71523593909521,231.03731182923343,-231.0373118292335,63.71523593909521
276.0,69.0182769960145,231.03731182923343,-231.0373118292335,69.0182769960145
280.0,75.25575915012851,231.03731182923343,-231.0373118292335,75.25575915012851
284.0,80.21559533315882,231.03731182923343,-231.0373118292335,80.21559533315882
288.0,82.56963738596448,231.03731182923343,-231.0373118292335,82.56963738596448
292.0,76.21629141669057,231.03731182923343,-231.0373118292335,76.21629141669057
296.0,70.26234013598688,231.03731182923343,-231.0373118292335,70.26234013598688
300.0,60.80805446542359,231.4673535391814,-231.46735353918135,60.80805446542359
304.0,132.39117622922242,231.4673535391814,-231.46735353918135,132.39117622922242
308.0,89.00710504438817,231.4673535391814,-231.46735353918135,89.00710504438817
312.0,95.14184010505618,231.4673535391814,-231.46735353918135,95.14184010505618
316.0,63.019021307041754,231.4673535391814,-231.46735353918135,63.019021307041754
320.0,57.688908169086275,231.4673535391814,-231.46735353918135,57.688908169086275
324.0,45.85143035952319,231.4673535391814,-231.46735353918135,45.85143035952319
328.0,40.15036905156522,231.4673535391814,-231.46735353918135,40.15036905156522
332.0,33.95858784694215,231.4673535391814,-231.46735353918135,33.95858784694215
336.0,28.299931102710254,231.4673535391814,-231.46735353918135,28.299931102710254
340.0,22.730489528574882,231.4673535391814,-231.46735353918135,22.730489528574882
344.0,17.404753120016537,231.4673535391814,-231.46735353918135,17.404753120016537
348.0,15.681156191494422,231.4673535391814,-231.46735353918135,15.681156191494422
352.0,24.57270724089354,231.4673535391814,-231.46735353918135,24.57270724089354
356.0,33.11508000889955,231.4673535391814,-231.46735353918135,33.11508000889955
360.0,45.43856454224981,231.4673535391814,-231.46735353918135,45.43856454224981
364.0,50.97275194759078,231.4673535391814,-231.46735353918135,50.97275194759078
368.0,49.606447137495124,231.4673535391814,-231.46735353918135,49.606447137495124
372.0,47.67442678963712,231.4673535391814,-231.46735353918135,47.67442678963712
376.0,43.40527708840145,231.4673535391814,-231.46735353918135,43.40527708840145
380.0,44.56880198494611,231.4673535391814,-231.46735353918135,44.56880198494611
384.0,46.741183165005864,231.4673535391814,-231.46735353918135,46.741183165005864
388.0,49.5128416329421,231.4673535391814,-231.46735353918135,49.5128416329421
392.0,53.165451772057594,231.4673535391814,-231.46735353918135,53.165451772057594
396.0,52.44012661611864,231.4673535391814,-231.46735353918135,52.44012661611864
400.0,52.194422095958494,231.4673535391814,-231.46735353918135,52.194422095958494
404.0,50.63833308908324,231.4673535391814,-231.46735353918135,50.63833308908324
408.0,48.0552448635088,231.4673535391814,-231.46735353918135,48.0552448635088
412.0,44.366172041561555,231.4673535391814,-231.46735353918135,44.366172041561555
416.0,39.38800358368224,231.4673535391814,-231.46735353918135,39.38800358368224
420.0,34.463903312125026,231.4673535391814,-231.46735353918135,34.463903312125026
424.0,37.66313541656395,231.4673535391814,-231.46735353918135,37.66313541656395
428.0,50.69968432992044,231.4673535391814,-231.46735353918135,50.69968432992044
432.0,64.33408070378027,231.4673535391814,-231.46735353918135,64.33408070378027
436.0,82.57338333208187,231.4673535391814,-231.46735353918135,82.57338333208187
440.0,91.67600730556694,231.4673535391814,-231.46735353918135,91.67600730556694
444.0,100.04104223618333,231.4673535391814,-231.46735353918135,100.04104223618333
448.0,106.15850077046542,231.4673535391814,-231.46735353918135,106.15850077046542
452.0,111.6432639956083,231.4673535391814,-231.46735353918135,111.6432639956083
456.0,117.68406028310652,231.4673535391814,-231.46735353918135,117.68406028310652
460.0,123.35210627448285,231.4673535391814,-231.46735353918135,123.35210627448285
464.0,129.08899990004238,231.4673535391814,-231.46735353918135,129.08899990004238
468.0,129.80498308753909,231.4673535391814,-231.46735353918135,129.80498308753909
472.0,113.89009657149367,231.4673535391814,-231.46735353918135,113.89009657149367
476.0,98.36963871014947,231.4673535391814,-231.46735353918135,98.36963871014947
480.0,76.8477789547121,231.4673535391814,-231.46735353918135,76.8477789547121
484.0,58.73907219617014,231.4673535391814,-231.46735353918135,58.73907219617014
488.0,43.622482022434355,231.4673535391814,-231.46735353918135,43.622482022434355
492.0,28.210497386488377,231.4673535391814,-231.46735353918135,28.210497386488377
496.0,14.170313668213467,231.4673535391814,-231.46735353918135,14.170313668213467
500.0,7.385424508908815,231.4673535391814,-231.46735353918135,7.385424508908815
504.0,2.208822304287075,231.4673535391814,-231.46735353918135,2.208822304287075
508.0,-0.9718116309217937,231.4673535391814,-231.46735353918135,-0.9718116309217937
512.0,-2.756050733543617,231.4673535391814,-231.46735353918135,-2.756050733543617
516.0,-4.657782808404703,231.4673535391814,-231.46735353918135,-4.657782808404703
520.0,-5.337101182436413,231.4673535391814,-231.46735353918135,-5.337101182436413
524.0,-8.062040467457605,231.4673535391814,-231.46735353918135,-8.062040467457605
528.0,-10.445419483714954,231.4673535391814,-231.46735353918135,-10.445419483714954
532.0,-10.427547828304702,231.4673535391814,-231.46735353918135,-10.427547828304702
536.0,-8.630067833820013,231.4673535391814,-231.46735353918135,-8.630067833820013
540.0,-4.167761227985446,231.4673535391814,-231.46735353918135,-4.167761227985446
544.0,-0.9777287535416096,231.4673535391814,-231.46735353918135,-0.9777287535416096
548.0,-0.886636582122455,231.4673535391814,-231.46735353918135,-0.886636582122455
552.0,-5.366869208097232,231.4673535391814,-231.46735353918135,-5.366869208097232
556.0,-12.522536844146448,231.4673535391814,-231.46735353918135,-12.522536844146448
560.0,-19.320207765034635,231.4673535391814,-231.46735353918135,-19.320207765034635
564.0,-22.305060948391244,231.4673535391814,-231.46735353918135,-22.305060948391244
568.0,-20.89282963231741,231.4673535391814,-231.46735353918135,-20.89282963231741
572.0,-17.345969220078594,231.4673535391814,-231.46735353918135,-17.345969220078594
